tweet,label
So that means tomorrow cruda segura lol,positive
Tonight peda segura,neutral
Eres tan mala vieja bruja interesada,negative
Yo kiero Pretzels lol,neutral
Fuck that ni ke el me vaya a mantener toda la vida lol,negative
I always tell my dad ke me kiero kasar con una vieja rika and me regaa telling me ke no sea interesada ha,negative
Ke me compre un carrito pa irme con mis friends and party lol,neutral
Why can I just find a rich bitch ke me mantenga y ya ha,neutral
Since I started working ya ni disfruto la vida lol,negative
My dad me regano cuzs I was telling that to my brother and lo andaba molestando lol,negative
If u still love her you should give her otro chance,positive
Tengo hungry mhm,neutral
Teachers be staring at me like im high they gotta accept my eyes parecen de camaron,neutral
Bien fatass ha,neutral
lmao yeah sure el tuyo parece ke te lo iso un lil kid,neutral
ha do n't lie los mios bolian a febrezee xD,neutral
lo levantaste con una de tus bombas lmao,positive
I 'm an asshole to gabby lol ok ya,negative
actually yo me bajaba porke te echabas unos pedos bien apestosos ke no aguantaba fumigabas todo el room xD,negative
ha u know is true parece ke te esta dando un atake xD,positive
Nobody can make gabby laugh like I do  asta parece mongolita lmao,positive
ha ratchet as N xD parece u al revvez,negative
"Gabby is just saying that cuzs I gave her , her fav gum and le planche sus pelos de elote lol jk jk",positive
Should I give oomf the candy nawh mejor me lo como yo lol,neutral
I was gonna buy summ spur gumn for oomf but then I remembered that shes on a diet so mejor no lol,neutral
Cuzs today I swear I 'm not doing anything nothing at all fui fui fui,neutral
Manager got us tacos and everyone is just chilling lol,positive
The hug she gave me en la morning >>>>,positive
Is your name sabado cuzs that ass is gigante lol,neutral
I 'm the type of person that would get drunk af do stupid shit darme unos chingasos call or text my crush and the next day i will do it again,negative
I 'm just hoping my crush venga today : *,positive
Came to buy a torta and una gordita for my bro,neutral
Hola chikita estoy bien buenote kieres ser mi novia lmao - Paiaguas,positive
Nigga my tat ai n't even fucked up otra cosa ke tu no saves ni leer ha,negative
Oomf anda de buenas pues ke abra comido lol,positive
She used to hate barbacoa but it was just cuzs she did n't knew how to eat it the right way ha,negative
I was eating tacos de barbacoa RN and me akorde de oomf lol,positive
De ke te kiero te kiero pendeja pero rogarte ? Ha ni ke estuvieras tan Buena ;),neutral
She 's a good cuada lol,positive
Just woke up De my nap w itzayana,neutral
Kuando me vaya a LA or mexico IMA take my queen,neutral
Chillin en el apt con yazmin y lesly,neutral
This guy made cookies other one made tamales other guy made cookies another guy made mole a girl made fresas I made ensalda De pollo,neutral
lol lo ke sobre the llevo,neutral
Tragando tamales in class lol,neutral
Bien mexican,positive
And maybe me llevo a la nohemi al restaurant ha,neutral
Here w josue at the apt eating tamales sopas chocolates cookies juices and all that good shit ha,positive
Yo oiero ir a ver a gloria trevi today :/,negative
Cuzs then itzayana me va a kitar lo ke me dieron -.-,negative
My belly hurts comi mucho chocolate,negative
Me viera agarrado algo but I never thought me me iba ablar,neutral
She thought the chocolate and teddy bear eran pa Ella lol,positive
Crush said she loves me cuzs me di chocolate,positive
Tengo ke aprovechar mis last mins single,positive
I do n't really like sopa de conchas,negative
Me vale madre lo ke digan tus padres ke soy pandillero pelon y visto baggie,negative
My phone looks ratchet todo crack,neutral
Eres una cualkiera yes u are .,negative
Finna go a McDonalds con la nohemi,neutral
""" Ni kulo me van a dar ni una tokadita "" lmfao nohemi",positive
Lol just cuzs va andar de forever alone,negative
Nohemi cook for me summ kesadiyas >>>,neutral
Escapate te doy 2 mins aki estoy afuera,neutral
Gonna download that game hopefully no me ponga toda mad cuzs lo borro,negative
The manager did n't know the boss was my cuada ora si ya le bajo a sus huevitos,negative
This nigga is singing mi nina travieza lmfao bien feo,negative
Mhm no wonder why they used to call me changa when i was lil,neutral
I wish she would come back that women se olvido de mi smh,negative
Me Interesas by noel torres >>>>,neutral
Or mejor I go to my brothers house,neutral
Seen ur ex suegra is awkward af,negative
Vayanse alv ha I got all kinds of color pants,neutral
If u think I jusy want u cuzs ur money heoo no bitch tas loka,negative
But I told jaime ke iba ir a su house to play xbox,neutral
No la buskes hija muy bonita por ke al paso del tiempo se le kita - my dad lol bien gay,neutral
Not playing w females nomore I judt got slap por andar de pendejita,negative
"My dad calls my friends "" flor , luz "" and all that shit",negative
I brought the sueter my gma gave me  form mexico lol,neutral
""" : Lo mato and ill take her gf lmfao "" lol too funny",positive
Micaela micaela ke tu tienes alma mia lol,positive
I made tostadas for me and her and she 's makin sadwiches lol,neutral
Me and yazmin were looking at that milby page and we told nohemi and her bitchass hide lmfao ya la cache,negative
Ayyy I wanna go home -.- no to my brother 's apt ayi me dan puras wings and pizza,negative
My manager is gay lol so ya somos amiguis xD,positive
I want sus eyes they idk badass,positive
My manager is so cool el chimuelo no el de los cute eyes si lol,positive
Kuzs he 's always passin me churros and all that good shit,positive
Nomas kuzs mis tattoos,neutral
"My manager 's name is gabby and I show her my tattoo she was all like "" awww I feel special u got my name tatted up "" ha se emociono lol",positive
Damm me duele mi cabezota,negative
Nohemi was all panikiada and shit too cuzs she thought it was her sis,negative
Pero chill a nigga still single I already explain to her watt I mean,neutral
Lmao la mom de yazmin me dijo ke me oigo bien mamona lol,neutral
I gotta do ensalada de pollo for my English class lol,neutral
My dad la puso a mi nombre since I was lil :),positive
The fact that my cuada is the boss >>>>,neutral
My fam siempre me echan carriya cuzs of the tattoo its funny tho lol,positive
We all here waiting pa ke juege mex :),positive
"Lmao my dad told me to get "" soy una estupida "" tatted up on my forehead for getting my ex name tatted up smh it was funny cuz my friends here",negative
Finally ya I 'm calm after everything that happened today,positive
14 more mins pa ke ya me vaya alv,neutral
Finna eat summ hot fries w chamoy later on :),positive
At least ami no me mandaron tanto a la chingada como a nohemi lmao,negative
Y aya nos casamos y te presento a mi abuela she knows how to cook so u do n't gotta worry about cooking for me lol,positive
Y si no kieres te robo y te vas conmigo a mexico lol,positive
Nomas te kieres creer bien important npw,neutral
You know I miss u so why I gotta text u I miss u if u already know tampoko te emociomes lol,neutral
I do n't accept both of yalls dare no no no el coco no,neutral
Se kemo pokito but fuck it,negative
