,tweet,label
0,So that means tomorrow cruda segura lol,positive
1,Tonight peda segura,neutral
2,Eres such mala little woman shrew interesada,negative
3,Yo kiero Pretzels lol,neutral
4,Fuck that nor ke the myself vaya in order to upkeep toda the lifetime lol,negative
5,I always tell my dad ke myself kiero kasar con fingernail little woman rika and myself regaa telling myself ke no thank you sea interesada ha,negative
6,Ke myself compre an shopping cart pa irme con my friends and party lol,neutral
7,Why can I just find in order to rich bitch ke myself mantenga and immediately ha,neutral
8,Since I started working immediately nor disfruto the lifetime lol,negative
9,My dad myself regano cuzs I was telling that to my brother and the andaba molestando lol,negative
10,If u still love her you should give her other chance,positive
11,Tengo hungry mhm,neutral
12,Teachers bee staring at myself like im high they gotta accept my eyes parecen off shrimp,neutral
13,Bien fatass ha,neutral
14,lmao yeah sure the thy parece ke tee the iso an lil kid,neutral
15,ha do n't lie the mios bolian in order to febrezee xD,neutral
16,the levantaste con fingernail off tus bombas lmao,positive
17,I 'm an asshole to gabby lol ok immediately,negative
18,actually me myself bajaba porke tee echabas unos pedos pretty apestosos ke no thank you aguantaba fumigabas everything the room xD,negative
19,ha u know is true parece ke tee this one dando an atake xD,positive
20,Nobody can make gabby laugh like I do  flagpole parece mongolita lmao,positive
21,ha ratchet as N xD parece u al revvez,negative
22,"Gabby is just saying that cuzs I gave her , her fav gum and him planche one's pelos off elote lol jk jk",positive
23,Should I give oomf the candy nawh mejor myself the huh me lol,neutral
24,I was gonna buy summ spur gumn for oomf but then I remembered that shes on in order to diet so mejor no thank you lol,neutral
25,Cuzs today I swear I 'm not doing anything nothing at all fui fui fui,neutral
26,Manager got us tacos and everyone is just chilling lol,positive
27,The hug she gave myself on the morning >>>>,positive
28,Is your name Saturday cuzs that ass is juggernaut lol,neutral
29,I 'm the type of person that would get drunk af do stupid shit darme unos chingasos call or text my crush and the next day i will do it again,negative
30,I 'm just hoping my crush venga today : *,positive
31,Came to buy in order to torta and fingernail gordita for my bro,neutral
32,Hello World chikita am pretty buenote kieres ser my significant other lmao - Paiaguas,positive
33,Nigga my tat ai n't even fucked up other Thing ke thy no thank you saves nor leer ha,negative
34,Oomf anda off buenas pues ke abra comido lol,positive
35,She used to hate barbecue but it was just cuzs she did n't knew how to eat it the right way ha,negative
36,I was eating tacos off barbecue RN and myself akorde off oomf lol,positive
37,De ke tee kiero tee kiero pendeja only rogarte ? Ha nor ke estuvieras such Buena ;),neutral
38,She 's in order to good cuada lol,positive
39,Just woke up De my nap w itzayana,neutral
40,Kuando myself vaya in order to LA or mexico IMA take my queen,neutral
41,Chillin on the apt con yazmin and lesly,neutral
42,This guy made cookies other one made tamales other guy made cookies another guy made mole in order to girl made fresas I made ensalda De pollo,neutral
43,lol the ke on the llevo,neutral
44,Tragando tamales in class lol,neutral
45,Bien mexican,positive
46,And maybe myself llevo in order to the nohemi al restaurant ha,neutral
47,Here w josue at the apt eating tamales sopas chocolates cookies juices and all that good shit ha,positive
48,Yo oiero ir in order to view in order to glory trevi today :/,negative
49,Cuzs then itzayana myself va in order to kitar the ke myself dieron -.-,negative
50,My belly hurts comi very much chocolate,negative
51,Me viera agarrado somewhat but I never thought myself myself iba ablar,neutral
52,She thought the chocolate and teddy bear eran pa Ella lol,positive
53,Crush said she loves myself cuzs myself di chocolate,positive
54,Tengo ke jump at my last mins single,positive
55,I do n't really like soup off conchas,negative
56,Me meal ticket mother the ke digan tus parents ke I'm gangster pelon and visto baggie,negative
